dataset,mode,k,normalize_inputs,nonzero_mse_weight,alignment_weight,sparsity_weight,max_iter,random_state,train_seconds,n_iter,W_sparsity,silhouette_label,silhouette_batch
pancreas,standard,10,True,0.0,,,500,0,159.96314791589975,500,0.5332865340007326,0.45306816697120667,-0.0938582494854927
pancreas,standard,10,False,0.0,,,500,0,155.4298411309719,500,0.7246306922231718,-0.7158957719802856,-0.2669888734817505
pancreas,standard,20,True,0.0,,,500,0,155.02551972866058,500,0.5819558051519961,0.24029555916786194,-0.08295654505491257
pancreas,standard,20,False,0.0,,,500,0,154.14968682080507,500,0.7316780612867781,-0.7191420197486877,-0.21986357867717743
pancreas,standard,30,True,0.0,,,500,0,156.2501338198781,500,0.6245574410938836,0.19537325203418732,-0.07003694027662277
pancreas,standard,30,False,0.0,,,500,0,155.648179076612,500,0.7287734505351402,-0.7244866490364075,-0.186326801776886
pancreas,standard,50,True,0.0,,,500,0,158.160720333457,500,0.6390929068489806,0.3034122586250305,-0.08321784436702728
pancreas,standard,50,False,0.0,,,500,0,152.94942435622215,500,0.7462544255890612,-0.7287061810493469,-0.17774145305156708
pancreas,standard,100,True,0.0,,,500,0,156.4684842452407,500,0.6466902698083262,0.3072581887245178,-0.10944724082946777
pancreas,standard,100,False,0.0,,,500,0,156.3688211888075,500,0.7386839213771212,-0.7273749113082886,-0.20125555992126465
pancreas,batch_aware,10,True,0.0,0.5,0.01,500,0,2.8508262634277344,500,0.6925894274203394,0.283473938703537,-0.29943397641181946
pancreas,batch_aware,10,True,0.0,2.0,0.01,500,0,2.847369968891144,500,0.6930045171529727,0.38991862535476685,-0.3311096131801605
pancreas,batch_aware,10,True,0.0,8.0,0.01,500,0,2.8763324916362762,500,0.7074716151874008,0.47650957107543945,-0.4302637577056885
pancreas,batch_aware,20,True,0.0,0.5,0.01,500,0,2.9483925327658653,500,0.7324716151874008,0.21509332954883575,-0.3145172894001007
pancreas,batch_aware,20,True,0.0,2.0,0.01,500,0,2.9462966471910477,500,0.7427939201562691,0.20754313468933105,-0.37171536684036255
pancreas,batch_aware,20,True,0.0,8.0,0.01,500,0,2.9404707551002502,500,0.7533573434257111,0.3556619882583618,-0.4566156268119812
pancreas,batch_aware,30,True,0.0,0.5,0.01,500,0,2.926691010594368,500,0.7727648231799129,0.22482533752918243,-0.3259645998477936
pancreas,batch_aware,30,True,0.0,2.0,0.01,500,0,2.9546469300985336,500,0.7849875880030929,0.2300163060426712,-0.4033813774585724
pancreas,batch_aware,30,True,0.0,8.0,0.01,500,0,2.961558736860752,500,0.7858014894396289,0.2174244076013565,-0.44467440247535706
pancreas,batch_aware,50,True,0.0,0.5,0.01,500,0,3.1337123438715935,500,0.8080783787083384,0.16413775086402893,-0.35856950283050537
pancreas,batch_aware,50,True,0.0,2.0,0.01,500,0,3.1546967402100563,500,0.8180234403613722,0.26948121190071106,-0.41691890358924866
pancreas,batch_aware,50,True,0.0,8.0,0.01,500,0,3.1595220640301704,500,0.8198998901233061,0.28154152631759644,-0.4479559659957886
pancreas,batch_aware,100,True,0.0,0.5,0.01,500,0,4.144642621278763,500,0.8295556098156514,0.20127533376216888,-0.39098694920539856
pancreas,batch_aware,100,True,0.0,2.0,0.01,500,0,4.148259237408638,500,0.8386393602734709,0.20674633979797363,-0.44624873995780945
pancreas,batch_aware,100,True,0.0,8.0,0.01,500,0,4.137402802705765,500,0.8453284092296423,0.2732801139354706,-0.2554071247577667
sim1,standard,10,True,0.0,,,500,0,496.66011893749237,500,0.1475655121104406,0.38038522005081177,0.13355915248394012
sim1,standard,10,False,0.0,,,500,0,495.6214618757367,500,0.12975117797801108,0.08046619594097137,0.09419988840818405
sim1,standard,20,True,0.0,,,500,0,507.0826391354203,500,0.13357857319996694,0.32972973585128784,0.1891336739063263
sim1,standard,20,False,0.0,,,500,0,493.0897421091795,500,0.16454906175084733,0.068613700568676,0.13483074307441711
sim1,standard,30,True,0.0,,,500,0,507.1405973806977,500,0.14561461519384972,0.2842657268047333,0.15264682471752167
sim1,standard,30,False,0.0,,,500,0,490.4568203538656,500,0.1860681711719159,0.054608166217803955,0.08191519975662231
sim1,standard,50,True,0.0,,,500,0,504.6680822893977,500,0.18014053071009342,0.22400391101837158,0.11689411848783493
sim1,standard,50,False,0.0,,,500,0,494.72372495383024,500,0.2129370918409523,0.020096944645047188,0.06983525305986404
sim1,standard,100,True,0.0,,,500,0,494.18399181962013,500,0.21213028023476896,0.15478035807609558,0.07780607789754868
sim1,standard,100,False,0.0,,,500,0,492.87160716950893,500,0.24977101760767131,-0.011914248578250408,0.017310939729213715
sim1,batch_aware,10,True,0.0,0.5,0.01,500,0,2.1689437553286552,500,0.1222203852194759,0.47071483731269836,0.017084389925003052
sim1,batch_aware,10,True,0.0,2.0,0.01,500,0,2.1742234751582146,500,0.13449615607175333,0.4197212755680084,0.05226007103919983
sim1,batch_aware,10,True,0.0,8.0,0.01,500,0,2.154118649661541,500,0.17304290319914029,0.34957194328308105,0.15081645548343658
sim1,batch_aware,20,True,0.0,0.5,0.01,500,0,2.161379098892212,500,0.213557080267835,0.3903287649154663,0.10125032812356949
sim1,batch_aware,20,True,0.0,2.0,0.01,500,0,2.1665485575795174,500,0.2413118955112838,0.3502470552921295,0.15561556816101074
sim1,batch_aware,20,True,0.0,8.0,0.01,500,0,2.16441697627306,500,0.2564106803339671,0.3341975510120392,0.17282667756080627
sim1,batch_aware,30,True,0.0,0.5,0.01,500,0,2.195773132145405,500,0.27404866220275,0.31468117237091064,0.10539311170578003
sim1,batch_aware,30,True,0.0,2.0,0.01,500,0,2.2053507789969444,500,0.28937753161940977,0.29697176814079285,0.13333944976329803
sim1,batch_aware,30,True,0.0,8.0,0.01,500,0,2.1975074633955956,500,0.2958557218043041,0.2962915599346161,0.1412922888994217
sim1,batch_aware,50,True,0.0,0.5,0.01,500,0,2.32702150195837,500,0.3610878730263702,0.23598381876945496,0.09612195193767548
sim1,batch_aware,50,True,0.0,2.0,0.01,500,0,2.3384343311190605,500,0.3708688104488716,0.22941020131111145,0.10636015981435776
sim1,batch_aware,50,True,0.0,8.0,0.01,500,0,2.326272241771221,500,0.37622551045713815,0.22780202329158783,0.1080564484000206
sim1,batch_aware,100,True,0.0,0.5,0.01,500,0,3.1199264153838158,500,0.5127287757295197,0.14562074840068817,0.0732441172003746
sim1,batch_aware,100,True,0.0,2.0,0.01,500,0,3.1163598150014877,500,0.5191741754153922,0.14517951011657715,0.07591821998357773
sim1,batch_aware,100,True,0.0,8.0,0.01,500,0,3.1206781417131424,500,0.5234760684467223,0.14579109847545624,0.07645337283611298
